City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
212,Nioro,GM,13.35,-15.75,91.67,50,89,6.62,overcast clouds
213,Ribeira Grande,PT,38.5167,-28.7,70.2,73,75,11.5,broken clouds
214,Baruun-Urt,MN,46.6806,113.2792,61.0,58,18,5.08,few clouds
215,Corpus Christi,US,27.8006,-97.3964,96.22,55,20,8.01,few clouds
216,Mount Gambier,AU,-37.8333,140.7667,35.51,100,100,6.91,overcast clouds
217,Kachiry,KZ,53.0675,76.1036,68.79,67,68,10.38,broken clouds
218,Tual,ID,-5.6667,132.75,79.74,82,93,20.76,overcast clouds
219,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,95.14,28,8,4.54,clear sky
220,Calabozo,VE,8.9242,-67.4293,84.56,69,95,4.52,overcast clouds
221,Bubaque,GW,11.2833,-15.8333,81.27,81,92,11.81,light rain
222,Zhongshu,CN,24.5167,103.7667,62.2,97,22,2.3,few clouds
223,Deputatskiy,RU,69.3,139.9,39.07,88,41,3.56,scattered clouds
224,La Romana,DO,18.4273,-68.9728,89.96,62,40,10.36,scattered clouds
225,Sri Aman,MY,1.2376,111.4621,73.6,92,98,2.33,overcast clouds
226,Nemencine,LT,54.85,25.4833,61.34,94,80,6.33,broken clouds
227,Sterling,US,39.0062,-77.4286,71.55,94,100,4.61,light intensity drizzle
228,Hasaki,JP,35.7333,140.8333,73.8,92,100,17.05,overcast clouds
229,Ancud,CL,-41.8697,-73.8203,47.23,85,100,9.82,light rain
230,Aripuana,BR,-9.1667,-60.6333,94.91,31,40,3.53,scattered clouds
231,Saint George,US,37.1041,-113.5841,104.63,11,0,5.75,clear sky
232,Kruisfontein,ZA,-34.0033,24.7314,74.88,29,0,11.01,clear sky
233,Boende,CD,-0.2167,20.8667,80.74,55,67,3.96,broken clouds
234,Gizo,SB,-8.103,156.8419,80.28,72,57,4.76,broken clouds
235,Seydi,TM,39.4816,62.9137,82.33,18,0,8.68,clear sky
236,Xingcheng,CN,40.6167,120.7167,75.16,70,100,2.44,overcast clouds
237,Santiago De Chuco,PE,-8.15,-78.1833,62.74,45,100,7.05,overcast clouds
238,Tazovskiy,RU,67.4667,78.7,45.54,92,76,13.22,broken clouds
239,Torbay,CA,47.6666,-52.7314,67.28,79,75,13.8,broken clouds
240,Price,US,39.5994,-110.8107,92.12,12,0,10.36,clear sky
241,Evensk,RU,61.95,159.2333,50.56,95,93,0.27,overcast clouds
242,Molina,CL,-35.1167,-71.2833,51.37,100,100,18.41,light rain
243,Toguchin,RU,55.2353,84.3858,61.74,79,90,5.53,overcast clouds
244,Rincon,US,32.296,-81.2354,91.9,62,75,10.36,broken clouds
245,Marzuq,YE,14.4,46.4667,82.08,32,100,5.28,overcast clouds
246,Pisco,PE,-13.7,-76.2167,65.01,77,37,10.36,haze
247,Siedlce,PL,52.1677,22.2901,60.8,74,100,7.92,overcast clouds
248,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,74.5,98,100,1.43,moderate rain
249,Ankang,CN,32.68,109.0172,80.06,74,39,1.77,scattered clouds
250,Paidha,UG,2.4167,30.9855,64.49,76,100,4.63,overcast clouds
251,Aklavik,CA,68.2191,-135.0107,59.0,88,100,10.36,haze
252,Gamboma,CG,-1.8764,15.8644,84.83,32,90,1.41,overcast clouds
253,Atasu,KZ,48.6814,71.6433,64.69,62,79,7.29,broken clouds
254,Adrar,MR,20.5022,-10.0711,108.73,9,7,5.77,clear sky
255,Mbaiki,CF,3.8678,17.9892,70.52,97,92,1.01,light rain
256,Manicahan,PH,7.0194,122.2011,73.38,100,100,14.97,overcast clouds
257,Tura,IN,25.5198,90.2201,76.21,88,26,3.33,scattered clouds
258,Black River,JM,18.0264,-77.8487,91.02,48,91,21.5,overcast clouds
259,Kushiro,JP,42.975,144.3747,59.04,98,100,15.7,overcast clouds
260,Kenai,US,60.5544,-151.2583,64.49,64,75,9.22,broken clouds
